fix_name,latitude,longitude
042AT,65.502761,-15.214764
062A1,61.419617,-44.9651
062A2,61.315453,-45.151656
062A3,61.252158,-45.264189
062A4,61.226875,-45.308967
062A5,61.211697,-45.3358
092AT,65.468464,-19.350728
09D05,36.104667,-5.405333
09D06,36.088,-5.404667
125AT,65.509489,-14.010683
12NMZ,61.116086,-45.539408
13LOC,55.848592,-4.476828
152AT,61.313272,-44.973219
15EWC,42.306667,-78.561667
15LOC,55.023522,-1.743992
15TAC,37.10845,-3.642353
16DME,53.890856,-1.699861
16LOC,51.385525,-2.664228
16NM,42.90965,-1.863819
17LOC,51.384894,-2.661508
182AT,65.411531,-19.450511
18LOC,53.609231,-0.326683
18NM,62.041308,-49.714353
18VOR,41.648358,-0.992911
19LOC,50.724464,-3.476469
19NM,42.388036,-3.576664
19THR,42.327358,-3.651522
1NM,64.261586,-15.209511
20DM2,50.792056,-1.776492
20DME,66.066336,-22.742639
20LO2,50.791094,-1.776047
20LOC,62.077092,-7.348786
20TH2,64.11315,-21.865775
20THR,65.320997,-14.358897
20VOR,57.566144,-3.997342
21LOC,51.5073,-0.011594
21TAC,44.972508,-64.966611
21TH2,40.769767,-73.415164
21THR,40.796872,-72.905794
22DME,54.092394,-4.550936
22THR,72.829472,-56.103647
23DME,50.939667,-2.714597
23LOC,51.23355,-0.868564
23THR,39.490208,-77.060903
24LOC,48.544189,-4.081572
24TAC,38.718453,-8.983964
24THR,36.859825,-2.305261
24VOR,38.293042,-0.636644
25DME,49.213764,-2.121778
25LOC,63.92555,-22.605464
25NM,70.675725,-52.084231
25TAC,53.279906,-4.590778
25THR,66.171608,-15.340522
25VOR,57.5176,-4.102811
26DME,51.731219,-1.66765
26TAC,51.729886,-1.666689
26VO2,52.833006,-2.620322
26VOR,52.770181,-2.716972
27D05,36.157361,-5.240083
27D06,36.158306,-5.2195
27D10,36.162028,-5.13725
27LOC,64.146825,-22.021611
27TAC,40.531475,-3.404778
28LOC,53.28515,-4.603817
28TAC,51.231747,-0.868706
28VOR,52.751756,-2.671678
29LOC,38.292928,-0.635544
29NM,42.895689,-1.738081
29TAC,37.085975,-3.650328
29VOR,42.393067,-3.573425
2NM,65.851564,-18.050592
30DM2,69.199833,-51.142647
30DME,69.201347,-51.148383
30LO2,58.960497,-2.792211
30LOC,58.955489,-3.006608
30NDB,44.963483,-64.984367
30NM,63.754181,-22.605611
30TA2,50.968472,-2.692681
30TAC,53.760419,-2.807044
30TH2,65.336011,-14.341892
30THR,65.674058,-19.550608
30VO2,53.391689,-2.202211
30VOR,63.986319,-22.728353
31DME,55.833025,-4.508683
31LOC,43.469222,-1.442139
31SF,63.5,-47.0
32DME,58.962119,-2.792269
32LOC,62.082228,-7.389878
32TAC,51.233942,-1.027467
32THR,38.377892,-75.571086
32VO2,58.960558,-2.790967
332AT,61.389094,-45.156972
333AT,65.503206,-15.077067
33NDB,44.153525,-77.466906
33NM,70.662028,-52.264
33THR,39.5206,-0.563908
34TA1,44.962083,-64.845725
34TA2,44.984294,-64.99955
34VOR,44.849967,-0.793878
3500E,35.0,0.0
3500N,35.0,0.0
3501N,35.0,-1.0
3502N,35.0,-2.0
3503N,35.0,-3.0
3504N,35.0,-4.0
3505N,35.0,-5.0
3506N,35.0,-6.0
3507N,35.0,-7.0
3508N,35.0,-8.0
3509N,35.0,-9.0
3510N,35.0,-10.0
3511N,35.0,-11.0
3512N,35.0,-12.0
3513N,35.0,-13.0
3514N,35.0,-14.0
3515N,35.0,-15.0
3516N,35.0,-16.0
3517N,35.0,-17.0
3518N,35.0,-18.0
3519N,35.0,-19.0
3520N,35.0,-20.0
3521N,35.0,-21.0
3522N,35.0,-22.0
3523N,35.0,-23.0
3524N,35.0,-24.0
3525N,35.0,-25.0
3526N,35.0,-26.0
3527N,35.0,-27.0
3528N,35.0,-28.0
3529N,35.0,-29.0
3530N,35.0,-30.0
3531N,35.0,-31.0
3532N,35.0,-32.0
3533N,35.0,-33.0
3534N,35.0,-34.0
3535N,35.0,-35.0
3536N,35.0,-36.0
3537N,35.0,-37.0
3538N,35.0,-38.0
3539N,35.0,-39.0
3540N,35.0,-40.0
3541N,35.0,-41.0
3542N,35.0,-42.0
3543N,35.0,-43.0
3544N,35.0,-44.0
3545N,35.0,-45.0
3546N,35.0,-46.0
3547N,35.0,-47.0
3548N,35.0,-48.0
3549N,35.0,-49.0
3550N,35.0,-50.0
3551N,35.0,-51.0
3552N,35.0,-52.0
3553N,35.0,-53.0
3554N,35.0,-54.0
3555N,35.0,-55.0
3556N,35.0,-56.0
3557N,35.0,-57.0
3558N,35.0,-58.0
3559N,35.0,-59.0
3560N,35.0,-60.0
3561N,35.0,-61.0
3562N,35.0,-62.0
3563N,35.0,-63.0
3564N,35.0,-64.0
3565N,35.0,-65.0
3566N,35.0,-66.0
3567N,35.0,-67.0
3568N,35.0,-68.0
3569N,35.0,-69.0
3570N,35.0,-70.0
3571N,35.0,-71.0
3572N,35.0,-72.0
3573N,35.0,-73.0
3574N,35.0,-74.0
3575N,35.0,-75.0
3576N,35.0,-76.0
3577N,35.0,-77.0
3578N,35.0,-78.0
3579N,35.0,-79.0
3580N,35.0,-80.0
35DME,58.956314,-3.006647
35LO2,43.341811,-0.346775
35LOC,56.452956,-3.142467
35VOR,58.955564,-3.006306
3600E,36.0,0.0
3600N,36.0,0.0
3601N,36.0,-1.0
3602N,36.0,-2.0
3603N,36.0,-3.0
3604N,36.0,-4.0
3605N,36.0,-5.0
3606N,36.0,-6.0
3607N,36.0,-7.0
3608N,36.0,-8.0
3609N,36.0,-9.0
3610N,36.0,-10.0
3611N,36.0,-11.0
3612N,36.0,-12.0
3613N,36.0,-13.0
3614N,36.0,-14.0
3615N,36.0,-15.0
3616N,36.0,-16.0
3617N,36.0,-17.0
3618N,36.0,-18.0
3619N,36.0,-19.0
3620N,36.0,-20.0
3621N,36.0,-21.0
3622N,36.0,-22.0
3623N,36.0,-23.0
3624N,36.0,-24.0
3625N,36.0,-25.0
3626N,36.0,-26.0
3627N,36.0,-27.0
3628N,36.0,-28.0
3629N,36.0,-29.0
3630N,36.0,-30.0
3631N,36.0,-31.0
3632N,36.0,-32.0
3633N,36.0,-33.0
3634N,36.0,-34.0
3635N,36.0,-35.0
3636N,36.0,-36.0
3637N,36.0,-37.0
3638N,36.0,-38.0
3639N,36.0,-39.0
3640N,36.0,-40.0
3641N,36.0,-41.0
3642N,36.0,-42.0
3643N,36.0,-43.0
3644N,36.0,-44.0
3645N,36.0,-45.0
3646N,36.0,-46.0
3647N,36.0,-47.0
3648N,36.0,-48.0
3649N,36.0,-49.0
3650N,36.0,-50.0
3651N,36.0,-51.0
3652N,36.0,-52.0
3653N,36.0,-53.0
3654N,36.0,-54.0
3655N,36.0,-55.0
3656N,36.0,-56.0
3657N,36.0,-57.0
3658N,36.0,-58.0
3659N,36.0,-59.0
3660N,36.0,-60.0
3661N,36.0,-61.0
3662N,36.0,-62.0
3663N,36.0,-63.0
3664N,36.0,-64.0
3665N,36.0,-65.0
3666N,36.0,-66.0
3667N,36.0,-67.0
3668N,36.0,-68.0
3669N,36.0,-69.0
3670N,36.0,-70.0
3671N,36.0,-71.0
3672N,36.0,-72.0
3673N,36.0,-73.0
3674N,36.0,-74.0
3675N,36.0,-75.0
3676N,36.0,-76.0
3677N,36.0,-77.0
3678N,36.0,-78.0
3679N,36.0,-79.0
3680N,36.0,-80.0
36DME,65.331981,-14.364972
36LOC,52.129867,-0.558639
3700E,37.0,0.0
3700N,37.0,0.0
3701N,37.0,-1.0
3702N,37.0,-2.0
3703N,37.0,-3.0
3704N,37.0,-4.0
3705N,37.0,-5.0
3706N,37.0,-6.0
3707N,37.0,-7.0
3708N,37.0,-8.0
3709N,37.0,-9.0
3710N,37.0,-10.0
3711N,37.0,-11.0
3712N,37.0,-12.0
3713N,37.0,-13.0
3714N,37.0,-14.0
3715N,37.0,-15.0
3716N,37.0,-16.0
3717N,37.0,-17.0
3718N,37.0,-18.0
3719N,37.0,-19.0
3720N,37.0,-20.0
3721N,37.0,-21.0
3722N,37.0,-22.0
3723N,37.0,-23.0
3724N,37.0,-24.0
3725N,37.0,-25.0
3726N,37.0,-26.0
3727N,37.0,-27.0
3728N,37.0,-28.0
3729N,37.0,-29.0
3730N,37.0,-30.0
3731N,37.0,-31.0
3732N,37.0,-32.0
3733N,37.0,-33.0
3734N,37.0,-34.0
3735N,37.0,-35.0
3736N,37.0,-36.0
3737N,37.0,-37.0
3738N,37.0,-38.0
3739N,37.0,-39.0
3740N,37.0,-40.0
3741N,37.0,-41.0
3742N,37.0,-42.0
3743N,37.0,-43.0
3744N,37.0,-44.0
3745N,37.0,-45.0
3746N,37.0,-46.0
3747N,37.0,-47.0
3748N,37.0,-48.0
3749N,37.0,-49.0
3750N,37.0,-50.0
3751N,37.0,-51.0
3752N,37.0,-52.0
3753N,37.0,-53.0
3754N,37.0,-54.0
3755N,37.0,-55.0
3756N,37.0,-56.0
3757N,37.0,-57.0
3758N,37.0,-58.0
3759N,37.0,-59.0
3760N,37.0,-60.0
3761N,37.0,-61.0
3762N,37.0,-62.0
3763N,37.0,-63.0
3764N,37.0,-64.0
3765N,37.0,-65.0
3766N,37.0,-66.0
3767N,37.0,-67.0
3768N,37.0,-68.0
3769N,37.0,-69.0
3770N,37.0,-70.0
3771N,37.0,-71.0
3772N,37.0,-72.0
3773N,37.0,-73.0
3774N,37.0,-74.0
3775N,37.0,-75.0
3776N,37.0,-76.0
3777N,37.0,-77.0
3778N,37.0,-78.0
3779N,37.0,-79.0
3780N,37.0,-80.0
37TAC,38.952147,-1.784825
37THR,36.725492,-4.569986
3800E,38.0,0.0
3800N,38.0,0.0
3801N,38.0,-1.0
3802N,38.0,-2.0
3803N,38.0,-3.0
3804N,38.0,-4.0
3805N,38.0,-5.0
3806N,38.0,-6.0
3807N,38.0,-7.0
3808N,38.0,-8.0
3809N,38.0,-9.0
3810N,38.0,-10.0
3811N,38.0,-11.0
3812N,38.0,-12.0
3813N,38.0,-13.0
3814N,38.0,-14.0
3815N,38.0,-15.0
3816N,38.0,-16.0
3817N,38.0,-17.0
3818N,38.0,-18.0
3819N,38.0,-19.0
3820N,38.0,-20.0
3821N,38.0,-21.0
3822N,38.0,-22.0
3823N,38.0,-23.0
3824N,38.0,-24.0
3825N,38.0,-25.0
3826N,38.0,-26.0
3827N,38.0,-27.0
3828N,38.0,-28.0
3829N,38.0,-29.0
3830N,38.0,-30.0
3831N,38.0,-31.0
3832N,38.0,-32.0
3833N,38.0,-33.0
3834N,38.0,-34.0
3835N,38.0,-35.0
3836N,38.0,-36.0
3837N,38.0,-37.0
3838N,38.0,-38.0
3839N,38.0,-39.0
3840N,38.0,-40.0
3841N,38.0,-41.0
3842N,38.0,-42.0
3843N,38.0,-43.0
3844N,38.0,-44.0
3845N,38.0,-45.0
3846N,38.0,-46.0
3847N,38.0,-47.0
3848N,38.0,-48.0
3849N,38.0,-49.0
3850N,38.0,-50.0
3851N,38.0,-51.0
3852N,38.0,-52.0
3853N,38.0,-53.0
3854N,38.0,-54.0
3855N,38.0,-55.0
3856N,38.0,-56.0
3857N,38.0,-57.0
3858N,38.0,-58.0
3859N,38.0,-59.0
3860N,38.0,-60.0
3861N,38.0,-61.0
3862N,38.0,-62.0
3863N,38.0,-63.0
3864N,38.0,-64.0
3865N,38.0,-65.0
3866N,38.0,-66.0
3867N,38.0,-67.0
3868N,38.0,-68.0
3869N,38.0,-69.0
3870N,38.0,-70.0
3871N,38.0,-71.0
3872N,38.0,-72.0
3873N,38.0,-73.0
3874N,38.0,-74.0
3875N,38.0,-75.0
3876N,38.0,-76.0
3877N,38.0,-77.0
3878N,38.0,-78.0
3879N,38.0,-79.0
3880N,38.0,-80.0
38TAC,51.058053,-2.584067
38THR,43.593386,-72.387192
3900E,39.0,0.0
3900N,39.0,0.0
3901N,39.0,-1.0
3902N,39.0,-2.0
3903N,39.0,-3.0
3904N,39.0,-4.0
3905N,39.0,-5.0
3906N,39.0,-6.0
3907N,39.0,-7.0
3908N,39.0,-8.0
3909N,39.0,-9.0
3910N,39.0,-10.0
3911N,39.0,-11.0
3912N,39.0,-12.0
3913N,39.0,-13.0
3914N,39.0,-14.0
3915N,39.0,-15.0
3916N,39.0,-16.0
3917N,39.0,-17.0
3918N,39.0,-18.0
3919N,39.0,-19.0
3920N,39.0,-20.0
3921N,39.0,-21.0
3922N,39.0,-22.0
3923N,39.0,-23.0
3924N,39.0,-24.0
3925N,39.0,-25.0
3926N,39.0,-26.0
3927N,39.0,-27.0
3928N,39.0,-28.0
3929N,39.0,-29.0
3930N,39.0,-30.0
3931N,39.0,-31.0
3932N,39.0,-32.0
3933N,39.0,-33.0
3934N,39.0,-34.0
3935N,39.0,-35.0
3936N,39.0,-36.0
3937N,39.0,-37.0
3938N,39.0,-38.0
3939N,39.0,-39.0
3940N,39.0,-40.0
3941N,39.0,-41.0
3942N,39.0,-42.0
3943N,39.0,-43.0
3944N,39.0,-44.0
3945N,39.0,-45.0
3946N,39.0,-46.0
3947N,39.0,-47.0
3948N,39.0,-48.0
3949N,39.0,-49.0
3950N,39.0,-50.0
3951N,39.0,-51.0
3952N,39.0,-52.0
3953N,39.0,-53.0
3954N,39.0,-54.0
3955N,39.0,-55.0
3956N,39.0,-56.0
3957N,39.0,-57.0
3958N,39.0,-58.0
3959N,39.0,-59.0
3960N,39.0,-60.0
3961N,39.0,-61.0
3962N,39.0,-62.0
3963N,39.0,-63.0
3964N,39.0,-64.0
3965N,39.0,-65.0
3966N,39.0,-66.0
3967N,39.0,-67.0
3968N,39.0,-68.0
3969N,39.0,-69.0
3970N,39.0,-70.0
3971N,39.0,-71.0
3972N,39.0,-72.0
3973N,39.0,-73.0
3974N,39.0,-74.0
3975N,39.0,-75.0
3976N,39.0,-76.0
3977N,39.0,-77.0
3978N,39.0,-78.0
3979N,39.0,-79.0
3980N,39.0,-80.0
39LOC,51.894461,-0.253358
39TAC,41.637636,-0.971736
39VOR,36.712842,-4.559992
3NM,65.578686,-23.524369
3NMX,61.0806,-45.566114
4000E,40.0,0.0
4000N,40.0,0.0
4001N,40.0,-1.0
4002N,40.0,-2.0
4003N,40.0,-3.0
4004N,40.0,-4.0
4005N,40.0,-5.0
4006N,40.0,-6.0
4007N,40.0,-7.0
4008N,40.0,-8.0
4009N,40.0,-9.0
4010N,40.0,-10.0
4011N,40.0,-11.0
4012N,40.0,-12.0
